Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,1.0,22.0,1.0,22.0,22.0,0.0,,,0.0,0.03487849235534668,,,,,,,,,,,,,,,,,,,,,10.733765292570688,5.689469070729128,19.836941046095394,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,44.0,2.0,22.0,44.0,0.0,22.0,22.0,0.0,1.5337417125701904,,,,,,,,,,,,,,,,,,,,,10.733765292570688,5.689469070729128,19.836941046095394,1.0,0.59060633,0.04580983,0.69098896,0.5452431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,128.0,3.0,84.0,128.0,0.0,84.0,84.0,0.0,1.6254589557647705,,,,,,,,,,,,,,,,,,,,,32.8083480224589,16.277969842584227,57.01109864761058,1.0,0.629712,0.043790027,0.693146,0.55840725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,202.0,4.0,74.0,202.0,0.0,74.0,74.0,0.0,1.7099645137786865,,,,,,,,,,,,,,,,,,,,,29.80900561968244,14.99948488019969,52.46599579942925,1.0,0.6155543,0.053257383,0.6931466,0.5032785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,259.0,5.0,57.0,259.0,0.0,57.0,57.0,0.0,1.7885057926177979,,,,,,,,,,,,,,,,,,,,,24.25721728909893,12.489794765062515,43.609480954761196,1.0,0.63559055,0.03673656,0.69297963,0.56015897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,324.0,6.0,65.0,324.0,0.0,65.0,65.0,0.0,1.8734650611877441,,,,,,,,,,,,,,,,,,,,,26.944171911354392,13.726827981023211,47.965947734969305,1.0,0.6300082,0.05030886,0.69313717,0.4987113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,349.0,7.0,25.0,349.0,0.0,25.0,25.0,0.0,1.9178094863891602,,,,,,,,,,,,,,,,,,,,,12.01725832206212,6.373078819321136,22.21786406008531,1.0,0.61204666,0.050385814,0.6894698,0.5032753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,378.0,8.0,29.0,378.0,0.0,29.0,29.0,0.0,1.9756982326507568,,,,,,,,,,,,,,,,,,,,,13.689783926993245,7.252413693439139,25.282790566840347,1.0,0.6304989,0.038985904,0.69303334,0.5543871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,417.0,9.0,39.0,417.0,0.0,39.0,39.0,0.0,2.0326037406921387,,,,,,,,,,,,,,,,,,,,,17.685066299918073,9.29894073774863,32.427095093971644,1.0,0.62262577,0.041998807,0.6929193,0.53232574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,467.0,10.0,50.0,467.0,0.0,50.0,50.0,0.0,2.0978808403015137,,,,,,,,,,,,,,,,,,,,,21.79120129323225,11.319210734827644,39.49939328624632,1.0,0.62036765,0.050122898,0.6931082,0.52099055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
