Episode #,iteration,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,0.0,1.0,12.0,1.0,12.0,12.0,0.0,,,0.0,0.008975982666015625,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0,0.0,1.0,26.0,2.0,14.0,26.0,0.0,,,0.0,0.09052228927612305,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.0,0.0,1.0,65.0,3.0,39.0,65.0,0.0,,,0.0,0.12338113784790039,,,,,,,,,,,,,,,,,,,,,17.685066299918073,9.29894073774863,32.427095093971644,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.0,0.0,1.0,82.0,4.0,17.0,82.0,0.0,,,0.0,0.15230536460876465,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0,0.0,1.0,100.0,5.0,18.0,100.0,0.0,,,0.0,0.18220138549804688,,,,,,,,,,,,,,,,,,,,,8.982568797548188,4.744552000897199,16.548623854991234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.0,0.0,0.0,111.0,6.0,11.0,111.0,0.0,11.0,11.0,0.0,0.31843090057373047,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5908754,0.043469038,0.69314665,0.5421296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0,0.0,0.0,122.0,7.0,11.0,122.0,0.0,11.0,11.0,0.0,0.35285377502441406,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5915914,0.041697785,0.6871103,0.5290115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0,0.0,0.0,138.0,8.0,16.0,138.0,0.0,16.0,16.0,0.0,0.3907511234283447,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,0.5973628,0.051207345,0.68856025,0.5270022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.0,0.0,0.0,153.0,9.0,15.0,153.0,0.0,15.0,15.0,0.0,0.4346733093261719,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.5877908,0.041778944,0.68975055,0.5408285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.0,0.0,0.0,167.0,10.0,14.0,167.0,0.0,14.0,14.0,0.0,0.4755675792694092,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,0.56904596,0.047172636,0.6771692,0.512814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
